created_at,user_location,tweet_geo,tweet_country,place_type,is_retweet,Deidentified_text
2024-11-18T03:52:25.000Z,Michigan,,,,False,"Fun fact--the homeless population is growing in [ORGANIZATION] and its not just because of bad policies. Cities and towns around the state send their homeless to [ORGANIZATION], as do some other states. I met a homeless mother with a teenage daughter from [PERSON]. When her home was destroyed in"
2024-11-16T13:58:15.000Z,"Kalamazoo, MI",,,,False,"3[LOCATION] leaders give the green light for support in three housing projects 

[URL]"
2024-11-15T17:00:46.000Z,West Michigan,,,,False,Several new housing projects will be underway in [ORGANIZATION]. [URL]
2024-11-15T05:42:08.000Z,"Kalamazoo, MI",,,,False,"[ORGANIZATION] increased mental health treatment using proven methods for [ORGANIZATION], especially focusing on [ORGANIZATION] and homeless folks. Also research effective and proven strategies for reducing homelessness and implement them in [ORGANIZATION], then roll them out to other cities."
2024-11-14T18:29:25.000Z,"Grand Rapids, Mich.",,,,True,RT @nick_ponton: [ORGANIZATION] OKs support for affordable housing projects [URL]
2024-11-14T13:38:21.000Z,USA,,,,True,"RT @GrassrootArmy: The Democrat run city of [ORGANIZATION] is literlly turning into a sewer because of the homeless problem.
[PERSON] ht…"
2024-11-14T12:56:35.000Z,"Michigan, USA",,,,True,"RT @GrassrootArmy: The Democrat run city of [ORGANIZATION] is literlly turning into a sewer because of the homeless problem.
[PERSON] ht…"
2024-11-14T12:49:02.000Z,Michigan,,,,False,New [INSTITUTION] project may pivot to different spot in [ORGANIZATION] [URL]
2024-11-14T12:44:45.000Z,"Michigan, USA",,,,True,"RT @GrassrootArmy: The Democrat run city of [ORGANIZATION] is literlly turning into a sewer because of the homeless problem.
[PERSON] ht…"
2024-11-14T12:16:02.000Z,Michigan,,,,False,New [INSTITUTION] project may pivot to different spot in [ORGANIZATION] [URL]
2024-11-14T12:10:02.000Z,"Kalamazoo, MI",,,,False,New [INSTITUTION] project may pivot to different spot in [ORGANIZATION] [URL]
2024-11-14T06:45:38.000Z,Rug city,,,,True,"RT @GrassrootArmy: The Democrat run city of [ORGANIZATION] is literlly turning into a sewer because of the homeless problem.
[PERSON] ht…"
2024-11-14T02:00:26.000Z,"St Clair Shores, MI",,,,True,"RT @GrassrootArmy: The Democrat run city of [ORGANIZATION] is literlly turning into a sewer because of the homeless problem.
[PERSON] ht…"
2024-11-14T00:17:31.000Z,"San Angelo, TX",,,,True,"RT @GrassrootArmy: The Democrat run city of [ORGANIZATION] is literlly turning into a sewer because of the homeless problem.
[PERSON] ht…"
2024-11-13T19:41:57.000Z,"Dallas, GA",,,,True,"RT @GrassrootArmy: The Democrat run city of [ORGANIZATION] is literlly turning into a sewer because of the homeless problem.
[PERSON] ht…"
2024-11-13T19:36:23.000Z,,,,,True,"RT @GrassrootArmy: The Democrat run city of [ORGANIZATION] is literlly turning into a sewer because of the homeless problem.
[PERSON] ht…"
2024-11-13T18:49:11.000Z,"Kalamazoo, MI",,,,False,[ORGANIZATION] OKs support for affordable housing projects [URL]
2024-11-13T18:45:39.000Z,"Grand Rapids, Mich.",,,,False,"[ORGANIZATION] OKs support for affordable housing projects:
[URL]"
2024-11-13T18:36:20.000Z,"Michigan, USA",,,,True,"RT @GrassrootArmy: The Democrat run city of [ORGANIZATION] is literlly turning into a sewer because of the homeless problem.
[PERSON] ht…"
2024-11-13T18:35:55.000Z,,,,,True,"RT @GrassrootArmy: The Democrat run city of [ORGANIZATION] is literlly turning into a sewer because of the homeless problem.
[PERSON] ht…"
2024-11-13T18:10:40.000Z,West Michigan,"Kalamazoo, MI",United States,city,False,"DATE0 with staff at [ORGANIZATION], GPE0GPE1, [ORGANIZATION], off and running! A common issue at many GPE0PublicTransportation motor pools and maintenance bays are GPE0Homeless people who trespass and loiter. How do you approach with personal safety in mind? [URL]"
2024-11-13T17:04:47.000Z,,,,,True,"RT @GrassrootArmy: The Democrat run city of [ORGANIZATION] is literlly turning into a sewer because of the homeless problem.
[PERSON] ht…"
2024-11-13T16:25:44.000Z,"Kalamazoo, Michigan",,,,False,"These projects will create more than 100 new housing units. 

Learn more: [URL]"
2024-11-13T16:13:56.000Z,,,,,True,"RT @GrassrootArmy: The Democrat run city of [ORGANIZATION] is literlly turning into a sewer because of the homeless problem.
[PERSON] ht…"
2024-11-13T16:05:56.000Z,some where in the U.S.A.,,,,True,"RT @GrassrootArmy: The Democrat run city of [ORGANIZATION] is literlly turning into a sewer because of the homeless problem.
[PERSON] ht…"
2024-11-13T15:51:19.000Z,"Texas, USA",,,,True,"RT @GrassrootArmy: The Democrat run city of [ORGANIZATION] is literlly turning into a sewer because of the homeless problem.
[PERSON] ht…"
2024-11-13T15:50:58.000Z,United State of America,,,,True,"RT @GrassrootArmy: The Democrat run city of [ORGANIZATION] is literlly turning into a sewer because of the homeless problem.
[PERSON] ht…"
2024-11-13T15:42:28.000Z,,,,,True,"RT @GrassrootArmy: The Democrat run city of [ORGANIZATION] is literlly turning into a sewer because of the homeless problem.
[PERSON] ht…"
2024-11-13T15:20:22.000Z,,,,,True,"RT @GrassrootArmy: The Democrat run city of [ORGANIZATION] is literlly turning into a sewer because of the homeless problem.
[PERSON] ht…"
2024-11-13T14:27:07.000Z,"Chesterfield, MI",,,,True,"RT @GrassrootArmy: The Democrat run city of [ORGANIZATION] is literlly turning into a sewer because of the homeless problem.
[PERSON] ht…"
2024-11-13T14:16:36.000Z,United States,,,,True,"RT @GrassrootArmy: The Democrat run city of [ORGANIZATION] is literlly turning into a sewer because of the homeless problem.
[PERSON] ht…"
2024-11-13T14:14:48.000Z,,,,,True,"RT @GrassrootArmy: The Democrat run city of [ORGANIZATION] is literlly turning into a sewer because of the homeless problem.
[PERSON] ht…"
2024-11-13T13:47:58.000Z,,,,,True,"RT @GrassrootArmy: The Democrat run city of [ORGANIZATION] is literlly turning into a sewer because of the homeless problem.
[PERSON] ht…"
2024-11-13T13:32:54.000Z,Unknown ,,,,True,"RT @GrassrootArmy: The Democrat run city of [ORGANIZATION] is literlly turning into a sewer because of the homeless problem.
[PERSON] ht…"
2024-11-13T13:25:56.000Z,"Michigan, USA",,,,True,"RT @GrassrootArmy: The Democrat run city of [ORGANIZATION] is literlly turning into a sewer because of the homeless problem.
[PERSON] ht…"
2024-11-13T13:24:03.000Z,,,,,True,"RT @GrassrootArmy: The Democrat run city of [ORGANIZATION] is literlly turning into a sewer because of the homeless problem.
[PERSON] ht…"
2024-11-13T13:16:00.000Z,,,,,True,"RT @GrassrootArmy: The Democrat run city of [ORGANIZATION] is literlly turning into a sewer because of the homeless problem.
[PERSON] ht…"
2024-11-13T12:51:43.000Z,"Michigan, USA",,,,True,"RT @GrassrootArmy: The Democrat run city of [ORGANIZATION] is literlly turning into a sewer because of the homeless problem.
[PERSON] ht…"
2024-11-13T12:48:13.000Z,,,,,True,"RT @GrassrootArmy: The Democrat run city of [ORGANIZATION] is literlly turning into a sewer because of the homeless problem.
[PERSON] ht…"
2024-11-13T12:17:15.000Z,,,,,True,"RT @GrassrootArmy: The Democrat run city of [ORGANIZATION] is literlly turning into a sewer because of the homeless problem.
[PERSON] ht…"
2024-11-13T12:07:23.000Z,,,,,True,"RT @GrassrootArmy: The Democrat run city of [ORGANIZATION] is literlly turning into a sewer because of the homeless problem.
[PERSON] ht…"
2024-11-13T11:37:10.000Z,,,,,True,"RT @GrassrootArmy: The Democrat run city of [ORGANIZATION] is literlly turning into a sewer because of the homeless problem.
[PERSON] ht…"
2024-11-13T10:57:46.000Z,"Michigan, USA",,,,True,"RT @GrassrootArmy: The Democrat run city of [ORGANIZATION] is literlly turning into a sewer because of the homeless problem.
[PERSON] ht…"
2024-11-13T10:55:11.000Z,,,,,True,"RT @GrassrootArmy: The Democrat run city of [ORGANIZATION] is literlly turning into a sewer because of the homeless problem.
[PERSON] ht…"
2024-11-13T10:53:36.000Z,earth flat or roundish,,,,True,"RT @GrassrootArmy: The Democrat run city of [ORGANIZATION] is literlly turning into a sewer because of the homeless problem.
[PERSON] ht…"
2024-11-13T10:49:52.000Z,,,,,True,"RT @GrassrootArmy: The Democrat run city of [ORGANIZATION] is literlly turning into a sewer because of the homeless problem.
[PERSON] ht…"
2024-11-13T10:10:53.000Z,,,,,True,"RT @GrassrootArmy: The Democrat run city of [ORGANIZATION] is literlly turning into a sewer because of the homeless problem.
[PERSON] ht…"
2024-11-13T09:52:03.000Z,Michigan,,,,True,"RT @GrassrootArmy: The Democrat run city of [ORGANIZATION] is literlly turning into a sewer because of the homeless problem.
[PERSON] ht…"
2024-11-13T09:36:23.000Z,"Michigan, USA",,,,True,"RT @GrassrootArmy: The Democrat run city of [ORGANIZATION] is literlly turning into a sewer because of the homeless problem.
[PERSON] ht…"
2024-11-13T09:15:54.000Z,"Michigan, USA",,,,True,"RT @GrassrootArmy: The Democrat run city of [ORGANIZATION] is literlly turning into a sewer because of the homeless problem.
[PERSON] ht…"
2024-11-13T06:23:20.000Z,USA,,,,True,"RT @GrassrootArmy: The Democrat run city of [ORGANIZATION] is literlly turning into a sewer because of the homeless problem.
[PERSON] ht…"
2024-11-13T05:57:40.000Z,"Michigan, USA",,,,True,"RT @GrassrootArmy: The Democrat run city of [ORGANIZATION] is literlly turning into a sewer because of the homeless problem.
[PERSON] ht…"
2024-11-13T05:55:26.000Z,SW Michigan,,,,True,"RT @GrassrootArmy: The Democrat run city of [ORGANIZATION] is literlly turning into a sewer because of the homeless problem.
[PERSON] ht…"
2024-11-13T05:19:33.000Z,,,,,True,"RT @GrassrootArmy: The Democrat run city of [ORGANIZATION] is literlly turning into a sewer because of the homeless problem.
[PERSON] ht…"
2024-11-13T05:14:14.000Z,,,,,True,"RT @GrassrootArmy: The Democrat run city of [ORGANIZATION] is literlly turning into a sewer because of the homeless problem.
[PERSON] ht…"
2024-11-13T04:54:59.000Z,,,,,True,"RT @GrassrootArmy: The Democrat run city of [ORGANIZATION] is literlly turning into a sewer because of the homeless problem.
[PERSON] ht…"
2024-11-13T04:54:55.000Z,"Taylor, MI",,,,True,"RT @GrassrootArmy: The Democrat run city of [ORGANIZATION] is literlly turning into a sewer because of the homeless problem.
[PERSON] ht…"
2024-11-13T04:39:48.000Z,"Indiana, USA",,,,True,"RT @GrassrootArmy: The Democrat run city of [ORGANIZATION] is literlly turning into a sewer because of the homeless problem.
[PERSON] ht…"
2024-11-13T04:24:14.000Z,Arizona,,,,True,"RT @GrassrootArmy: The Democrat run city of [ORGANIZATION] is literlly turning into a sewer because of the homeless problem.
[PERSON] ht…"
2024-11-13T04:16:56.000Z,,,,,True,"RT @GrassrootArmy: The Democrat run city of [ORGANIZATION] is literlly turning into a sewer because of the homeless problem.
[PERSON] ht…"
2024-11-13T04:10:11.000Z,,,,,True,"RT @GrassrootArmy: The Democrat run city of [ORGANIZATION] is literlly turning into a sewer because of the homeless problem.
[PERSON] ht…"
