created_at,user_location,tweet_geo,tweet_country,place_type,is_retweet,keywords_matched,Deidentified_text,city
2024-12-07T18:42:24.000Z,,,,,False,homeless,[USER] Sandwiches for the many homeless in [PERSON].,south bend
2024-12-10T12:21:41.000Z,"Indiana, USA",,,,False,homeless,[USER] so my question is can we show at least a *LITTLE* bit of interest in [ORGANIZATION]'s homeless feat. addicted and mentally ill population? Like my personal idea was previously a recorded sit-down discussion between certain members of the [ORGANIZATION] and specific members of-,south bend
2024-11-26T17:24:37.000Z,"Mishawaka, IN",,,,False,homeless,"The deal to build a new homeless intake center in [ORGANIZATION] is close to completion.
[URL]",south bend
2024-10-15T16:29:21.000Z,"Indiana, USA",,,,False,"homeless, homelessness","[USER] I'd chose ol ""Mayor [PERSON]"" and ask him why he decided to screw up the traffic patterns in [ORGANIZATION] with his screwed up round abouts on [ORGANIZATION] and FAC0 instead of the poverty and homelessness issues that only got worse during his administration.",south bend
2024-12-13T01:25:42.000Z,,,,,False,"homeless, homelessness",PERSON0 You really want to go there with your “husbands” record on homelessness in [ORGANIZATION]?,south bend
2024-11-05T06:09:38.000Z,"Los Angeles, CA",,,,False,homeless,"[USER] [USER] address how he treated homeless people in [ORGANIZATION] without pretending being a wealthy gay man who adopted children makes him a saint
[LOCATION]",south bend
2024-10-23T00:35:00.000Z,"South Bend, Ind.",,,,False,affordable housing,"Sixplexes are one building type in FAC0, an affordable housing project currently under construction on [ORGANIZATION] east side [URL]",south bend
2024-10-21T04:31:47.000Z,"Mishawaka, IN","Mishawaka, IN",United States,city,False,homeless,"This song is dedicated to all who are struggling, the disabled, the homeless, the lgbtq community, and everyone around the world that is suicidal or lost someone or a pet.. I want to tell all of you that I love you and everything will be ok..

[URL]",south bend
2024-12-02T03:01:06.000Z,United States,,,,False,homeless,PERSON0 Have you researched how [PERSON] treated the homeless in [ORGANIZATION] during his two terms? [ORGANIZATION] swept encampments under a downtown overpass more than once and everything got trashed.,south bend
2024-10-17T12:41:47.000Z,,,,,False,homeless,[USER] [USER] It’s a [TIME] attempt to salvage [ORGANIZATION] presidential run because republicans know they are losing. [ORGANIZATION] is not a “sanctuary city” because we can’t barely get sanctuary for our own homeless people.,south bend
2024-12-05T21:47:58.000Z,"South Bend, IN","South Bend, IN",United States,city,False,unhoused,"Thanks to [ORGANIZATION] for inviting [USER] [ORGANIZATION]amp; I to join your table at the [USER] [ORGANIZATION]. After an especially cold night, it was wonderful to be surrounded by the warmth of many individuals who support caring for our unhoused neighbors. [PERSON]",south bend
2024-11-05T06:26:03.000Z,"Los Angeles, CA",,,,False,,"[USER] [USER] HE WAS THE MAYOR. HE CALLED FOR THE SWEEPS. READ THE ARTICLE
[URL]",south bend
2024-11-28T00:45:06.000Z,"Mishawaka, IN",,,,False,homeless,"Turning heartbreak into hope, a [ORGANIZATION] family is honoring their daughter's memory by feeding the homeless [ORGANIZATION].
READ MORE: [URL] [URL]",south bend
2024-12-26T21:00:03.000Z,"South Bend, IN",,,,False,,"Developer adds [PERSON] building to ORG1 plan for housing, retail and green space as well as address food insecurity. READI money awarded. [ORGANIZATION]",south bend
2024-11-16T20:37:27.000Z,,,,,False,homeless,"[USER] My favorite thing [ORGANIZATION] did when he was mirror in [ORGANIZATION], [ORGANIZATION] was cover the city in lime bikes that the homeless could throw in the river. Brilliant guy. 

Maybe if he’s president we can have lime bikes for the homeless to throw around all over the [PERSON]!",south bend
2024-12-19T03:08:11.000Z,"Granger, IN","Granger, IN",United States,city,False,affordable housing,"[USER] [USER] Actually, I think this is a cool idea. Like dorm-style living, but for adults. If it revitalizes mall space, helps local businesses, alleviates a shortage of affordable housing (especially for young adults or seniors) and ISN'T MANDATED BY THE GOVERNMENT, I say go for it!",south bend
2024-11-05T05:40:02.000Z,"Los Angeles, CA",,,,False,homeless,[USER] [USER] shut the fuck up man. this guy pretended he knew fucking eight languages. he doesn't. Look up how he treated homeless people in [ORGANIZATION] during [ORGANIZATION] in [ORGANIZATION]. he destroyed their possessions and put them on the streets when there weren't enough shelter beds for them,south bend
2024-11-20T03:57:09.000Z,United States,,,,False,,[ORGANIZATION] Mayor [ORGANIZATION] discusses President-Elect PERSON1's immigration policies [ORGANIZATION],south bend
2024-10-26T00:00:09.000Z,"Mishawaka, IN",,,,False,"housing crisis, affordable housing","[ORGANIZATION] is tackling the affordable housing crisis with a new initiative. 🏠 
[URL]",south bend
2024-11-23T03:44:09.000Z,USA,,,,False,,"[ORGANIZATION] Mayor [ORGANIZATION] discusses President-Elect PERSON1's immigration policies [URL]
Ikibatsi mutual net.",south bend
2024-11-19T15:00:39.000Z,"Mishawaka, IN",,,,False,,"[ORGANIZATION]'s [ORGANIZATION] and [ORGANIZATION] Mayor [PERSON] (D) discuss hot topics in the city including how the City of [ORGANIZATION] would handle President-Elect PERSON2's immigration policies, along with FAC0.

[URL]",south bend
2024-11-05T05:46:05.000Z,"Los Angeles, CA",,,,False,,"[USER] [USER] Read it all bitch 
[LOCATION]",south bend
2024-11-12T02:51:42.000Z,,,,,False,,"[USER] PERSON0 Yeah, about PERSON1...: [URL]",south bend
2024-12-18T23:25:14.000Z,"Bristol, IN.",,,,False,homeless,"A huge shoutout to [ORGANIZATION]'s ORG1 for their generosity and hard work! They donated 19 sets of hats, gloves, and scarves to help keep the children at [ORGANIZATION] ORG2 warm [ORGANIZATION]. 💙 [URL]",south bend
2024-10-29T03:39:12.000Z,,"Mishawaka, IN",United States,city,False,homeless,URGENT: ‘Save Them All’? [ORGANIZATION] to Animal Abusers—Take Action DATE0! [URL] [USER],south bend
2024-11-27T11:00:02.000Z,"South Bend, Indiana",,,,False,,"Plans for a new 'FAC0' call for laundry facilities, a commercial kitchen and outdoor gathering space.

 [URL]",south bend
2024-12-13T01:52:24.000Z,,,,,False,homeless,[USER] [USER] dey lucky i aint [ORGANIZATION] i be eating like a homeless man that aint ate in [ORGANIZATION],south bend
2024-12-05T01:46:18.000Z,"South Bend, IN",,,,False,homeless,"813 S. FAC0 ([ORGANIZATION])
[ORGANIZATION] 

#SouthBend",south bend
2024-11-29T13:30:01.000Z,"South Bend, IN",,,,False,homeless,[ORGANIZATION]-based [ORGANIZATION] was founded to help farmers and the thousands of homeless organs in the East African country. [PERSON],south bend
2024-11-21T08:29:39.000Z,"South Bend, IN",,,,False,homeless,"813 S. FAC0 ([ORGANIZATION])
[ORGANIZATION] 

#[PERSON]",south bend
2024-12-06T01:30:06.000Z,"South Bend, Indiana",,,,False,,The luncheon also gives a platform for people to tell their stories. [PERSON],south bend
2024-10-15T10:30:02.000Z,"Mishawaka, IN",,,,False,,"[PERSON] approved tax breaks for developers during their meeting [ORGANIZATION] [TIME].

[URL]",south bend
2024-11-05T21:14:01.000Z,"South Bend, Indiana, USA",,,,False,"homeless, homelessness","In honor of [ORGANIZATION] [DATE] in [ORGANIZATION], [ORGANIZATION] will donate $2 for every burger sold in [ORGANIZATION] to support our programs to end youth homelessness in our community!

Visit The ORG1 in central [ORGANIZATION] at [ADDRESS]. [URL]",south bend
2024-10-15T14:45:33.000Z,"South Bend, IN",,,,False,affordable housing,"Proceeds from the event will help [ORGANIZATION] continue to provide affordable housing and build community, organizers say. [URL] [URL]",south bend
2024-12-09T13:12:54.000Z,,,,,False,homeless,"☘️🎁🎄Christmas Giving [DATE] is live🎄🎁☘️

Donate to [ORGANIZATION] in [ORGANIZATION] here: [URL]

Additional details: [URL] [URL]",south bend
2024-12-01T17:36:54.000Z,,,,,False,homeless,"all of [ORGANIZATION] designs are live, with any [ORGANIZATION] proceeds [PERSON] going to ORG2 in [ORGANIZATION]

[URL] [URL]",south bend
2024-11-28T05:00:18.000Z,"South Bend, IN",,,,False,,"The purchase by the city should allow the long-planned, frequently-opposed project to move forward. [URL]",south bend
2024-11-07T15:14:58.000Z,Indiana,,,,False,homeless,"I WANT THE [ORGANIZATION], I WANT THE PROPERTY_ I AM POSITIONED TO CONDEMN ALL OF SOUTH BEND OVER IT&gt; welcome to Judgement - im baby goddess of war, thats what ""angel"" you screwed over, raping me and making me homeless (dv survivor- healthcare worker)",south bend
2024-12-09T22:42:25.000Z,,,,,False,homeless,"🎄Christmas Giving🎄 kickoff pod with [USER], talking playoff committee, [ORGANIZATION] gaslighting, [ORGANIZATION] and a lot more.

Listen: [ORGANIZATION] to ORG1 in [PERSON]: [URL] [URL]",south bend
2024-10-26T13:38:35.000Z,,,,,False,homeless,"PERSON0 Picture from when [PERSON] bulldozed over homeless encampments as the mayor of [ORGANIZATION], [PERSON]. Clearly, Democrats love destroying the few possessions belonging to the homeless. [URL]",south bend
2024-11-20T06:47:14.000Z,"Wisconsin, USA",,,,False,homeless,[ORGANIZATION] non-profit that supports the homeless could shut down GPE1GPE2  [URL],rockford
2024-11-08T01:12:59.000Z,,,,,False,affordable housing,"PERSON0 They've got all that affordable housing, but the downside is it's in [ORGANIZATION].",rockford
2024-09-19T13:42:30.000Z,Book Me,,,,False,"homeless, homelessness","[USER] can I get some marshal law in [ORGANIZATION]; [PERSON], [ORGANIZATION] , this college is sabotaging my name my housing  my health ,  they [ORGANIZATION]; think about to praising God or think they can say im not working so the police don't have a job to do.",rockford
2024-12-20T16:01:14.000Z,"Rockford, IL",,,,False,homeless,[ORGANIZATION] seeks funds to assist growing homeless population in [ORGANIZATION]. [URL],rockford
2024-12-28T12:58:00.000Z,"Illinois, USA",,,,False,homeless,[USER] You should see downtown [ORGANIZATION]. Oh boy. You got the trap store ([ORGANIZATION]) across the [STREET] from the jail/[STREET] houses. The [INSTITUTION] is on the next block. They are selling right there on the [STREET].,rockford
2024-12-09T16:12:11.000Z,"Des Plaines, IL USA",,,,False,,"Thank you, [ORGANIZATION] in [ORGANIZATION], for bringing the cheer to our residents at [ORGANIZATION] in [PERSON] with the donation of these festive wreaths and door decorations. [URL] [URL]",rockford
2024-09-22T09:30:15.000Z,,,,,False,"homeless, homelessness","[USER] well greedy pple enjoy collecting 🏠s. some cities, like [ORGANIZATION] (see below), have made [DATE] strides. the city's # s are impressive considering the poverty. the weather (dying of exposure is a real threat in [PERSON]), and under-priced housing mrket also means ⬇️ homelessness. [URL]",rockford
2024-12-12T12:29:31.000Z,"Rockford, IL",,,,False,homeless,"[ORGANIZATION] for the Homeless in [ORGANIZATION] to honor those who passed away, highlighting [ORGANIZATION] Memorial Day. [URL]",rockford
2024-12-07T19:14:47.000Z,"Rockford, IL",,,,False,homeless,"I know this isn’t what I normally post, but since I had [ORGANIZATION] off, we spent DATE1 giving back to the community. My mom put together a group and we were in downtown [ORGANIZATION] putting out warm gear for the homeless. Have DATE2 and so excited to play again DATE3! [URL]",rockford
2024-11-18T18:00:07.000Z,"Rockford, IL",,,,False,housing crisis,The $45 million project hopes to solve part of [ORGANIZATION]'s housing crisis. [URL],rockford
2024-09-29T17:00:06.000Z,"Rockford, IL",,,,False,"homeless, homelessness","[ORGANIZATION] is the primary provider of assistance to people struggling with challenges like homelessness, poverty, abuse and addiction. [URL]",rockford
2024-11-15T19:09:46.000Z,"Dublin, Ireland",,,,False,housing crisis,"One thing's clear from talking to residents around [ORGANIZATION] and FAC0 - people need a change from ORG0ORG1; ORG2. Many people are pointing to the housing crisis as a major issue, which the government has no desire to solve. It's time to end DATE0 of ORG3 and [LOCATION]. [URL]",rockford
2024-10-31T09:15:03.000Z,,,,,False,"homeless, homelessness","Thanks to a system that can ensure homelessness is rare  and brief, [ORGANIZATION], [PERSON] has a sustainable solution to the chronic  homelessness its citizens face.",rockford
2024-12-24T00:34:23.000Z,,,,,False,homeless,"[ORGANIZATION] should do SOMETHING with [ORGANIZATION]. [ORGANIZATION]. Vacation. [PERSON]. Come to PERSON1 moment on a remote island.
Bootcamp in [PERSON]. SOMETHING. I get not wanting him on the ice but what a waste of everything to make him homeless.",rockford
2024-10-05T18:05:14.000Z,Rockford Illinois,,,,False,homeless,"[URL]

City of GPE0 Refuses to Acknowledge an Abandoned Homeless Encampment

[URL] 

#[PERSON]scanner #[PERSON] #[PERSON]il #homeless #GPE3 #mayor #rs #news #cleanup #shelter #wtf #fail #corruption #politics #embarrassing",rockford
2024-11-20T14:25:43.000Z,"Rockford, IL",,,,False,affordable housing,"A new proposal sets out to create affordable housing for veterans — ranging from studio apartments at this old bank site to townhomes on vacant land — at nine locations in the area. 

[URL]",rockford
2024-08-21T18:31:05.000Z,"Paleto Bay, San Andreas",,,,False,"homeless, homelessness","[ORGANIZATION] needs to get a grip with reality and understand that they are not the center of this state. [PERSON] is an ongoing issue in [ORGANIZATION], and their claims of a few more tents in the city warranting a state of emergency is abhorrent.",rockford
2024-12-22T23:19:28.000Z,"Austin, TX",,,,False,"homeless, homelessness","[USER] [USER] They tried it but stopped, I believe. They have had some success in reducing homelessness but [ORGANIZATION] isn’t why. They also have some challenges.",rockford
2024-09-22T09:07:29.000Z,"Wisconsin, USA",,,,False,homeless,"[USER] [USER] There are some homeless people in [ORGANIZATION], but as far as I can tell, they are refugees from [ORGANIZATION]; GPE2.",rockford
2024-10-31T09:15:02.000Z,,,,,False,"homeless, homelessness","[ORGANIZATION] uses real-time, by-name data to reach functional zero with homeless population

In [ORGANIZATION], [ORGANIZATION] became the  first community in [PERSON] to end both chronic and veteran  homelessness.",rockford
2024-08-26T21:28:27.000Z,"Rockford, IL",,,,False,affordable housing,FOR IMMEDIATE RELEASE: ALL THINGS AFFORDABLE HOUSING SUMMIT [URL]  #tapin #affordablehousing #rockfordhousing #landlords #residents #rockfordil [ORGANIZATION],rockford
2024-12-15T03:22:03.000Z,,,,,False,affordable housing,"Affordable housing, state budget deficit at issue as [ORGANIZATION] lawmakers meet with [ORGANIZATION]-area leaders [URL]",rockford
2024-11-21T22:08:42.000Z,,,,,False,homeless,"PERSON0 Oh, why not.. [ORGANIZATION],  or [PERSON]? You know if you go to [ORGANIZATION] you can see live homeless Americans just walking up and down FAC0.",rockford
2024-08-27T21:16:32.000Z,"Rockford, Illinois",,,,False,homeless,[ORGANIZATION] heatwave puts [ORGANIZATION]’s homeless at risk [URL] [URL],rockford
2024-12-29T21:56:31.000Z,next to the capital of Chicago,,,,False,"homeless, homelessness",[USER] [USER] [USER] [USER] [USER] [USER] [USER] I was elected to my city council &amp; the only CITY EMPLOYEE who volunteered at our shelter. I worked with [ORGANIZATION] gov because they ENDED homelessness. 1 of a couple cities in [PERSON] to do so. Rehabs &amp; mental break facilities are tax funded private corps that don't address homelessness,rockford
2024-12-27T11:25:12.000Z,St Charles,,,,False,homeless,"Perhaps where homeless, illegals, homicide freedom cause [ORGANIZATION] loss. [PERSON] GPE2 [PERSON] GPE7 [PERSON] GPE12 GPE13 GPE14 GPE15 GPE16 GPE17 #bansoffourbodies GPE18 GPE19 GPE20 GPE21 [PERSON]",rockford
2024-09-12T22:02:04.000Z,"Rockford, IL",,,,False,affordable housing,"The [ORGANIZATION] team attended the [USER] All Things Housing Summit DATE0. It was a great opportunity to share the resources that ORG1 offers to [ORGANIZATION]; property owners, &amp; to meet with other organizations offering affordable housing in [ORGANIZATION]. 🏘[PERSON]",rockford
2024-12-26T04:33:15.000Z,We Are Everywhere,,,,False,homeless,[USER] [URL] plz help our homeless if you can.,rockford
2024-12-06T03:30:11.000Z,"Rockford, IL",,,,False,,"As warming centers protect those without a stable shelter, there is one big challenge: reduced capacity.  [URL]",rockford
2024-12-21T05:05:04.000Z,"Rockford, IL",,,,False,,“These people are just like everyone else and they deserve to be remembered.” [URL],rockford
2024-10-12T00:46:34.000Z,Any where USA,,,,False,"homeless, soup kitchen","[USER] This church is in [PERSON], it had been vacant for [ORGANIZATION] and it was used as a soup kitchen for DATE1years after that until a homeless man set it on fire. bythe time the [INSTITUTION] arrived, they had no other choice but to keep it from spreading.",rockford
2024-11-21T23:58:24.000Z,earth,,,,False,homeless,"[USER] Have you seen the streets in [ORGANIZATION], GPE1,GPE2 and [PERSON]? Crime is rampant and streets filled with homeless and illegals. Shame on you!!!!",rockford
2024-11-20T09:16:54.000Z,Illinois,,,,False,homeless,"[ORGANIZATION] non-profit that supports the homeless could shut down 
Source: [URL] WTVO WQRF [URL]",rockford
2024-11-21T16:00:01.000Z,"Rockford, IL",,,,False,homeless,"ICYMI: [ORGANIZATION] stands by as dozens of those in need walk through Miss [PERSON] on [ORGANIZATION] [TIME]. Volunteers for the charity gather sack lunches, blankets, gloves and more without questions for the mostly homeless men and women entering. [URL]",rockford
2024-09-28T19:00:07.000Z,"Rockford, IL",,,,False,"homeless, homelessness","Country music artist and [PERSON] nominee [ORGANIZATION] brings his [ORGANIZATION] to [ORGANIZATION], donating to [ORGANIZATION] and raising awareness for homelessness. [URL]",rockford
2024-11-14T16:56:59.000Z,"Rockford, IL",,,,False,"homeless, homelessness",[ORGANIZATION] seeks community aid ahead of [ORGANIZATION] Week. [URL],rockford
2024-12-19T22:37:35.000Z,"Rockford, Illinois",,,,False,homeless,[ORGANIZATION] seeks financial support to care for the homeless [URL] [URL],rockford
2024-12-25T04:04:42.000Z,,,,,False,unhoused,"""100 people in need find shelter &amp; community [ORGANIZATION] thanks to [ORGANIZATION] #HomeForTheHolidays""

[URL]",kalamazoo
2024-11-26T17:05:32.000Z,"Kalamazoo, MI",,,,False,"homeless, affordable housing","Asking people about challenges of finding affordable housing in [ORGANIZATION] area:

""The housing situation here is beyond abysmal! I feel even worse for the poor/homeless. The county/city cant seem to get their shit together to address the problem,"" one said. [URL]",kalamazoo
2024-12-16T01:56:42.000Z,A Deluxe Apartment In The Sky.,,,,False,homeless,"We need more of this across the country. Help end homeless, and encourage responsibility.

[URL]",kalamazoo
2024-11-27T14:00:07.000Z,Michigan,,,,False,"homeless, homelessness",[LOCATION]-funded mobile homes arrive for families facing homelessness [URL],kalamazoo
2024-11-18T03:52:25.000Z,Michigan,,,,False,homeless,"Fun fact--the homeless population is growing in [ORGANIZATION] and its not just because of bad policies. Cities and towns around the state send their homeless to [ORGANIZATION], as do some other states. I met a homeless mother with a teenage daughter from [PERSON]. When her home was destroyed in",kalamazoo
2024-11-19T04:00:04.000Z,West Michigan,,,,False,"homeless, homelessness","New [ORGANIZATION] home aims to help homelessness and addiction
[URL]",kalamazoo
2024-12-30T19:28:59.000Z,"Kalamazoo, MI",,,,False,homeless,"[USER], Thanks for making a cash donation to [USER]. Your tireless effort to fight hunger in [ORGANIZATION] and [ORGANIZATION] will provide free dinners for the homeless and other needy souls in [ORGANIZATION]. [ORGANIZATION] bless you. PERSON1 and [PERSON] with Rev. PERSON3. [URL]",kalamazoo
2024-12-16T20:51:46.000Z,"Kalamazoo, MI",,,,False,"homeless, homelessness","Seeking to end homelessness among jail inmates, [ORGANIZATION] ([ORGANIZATION]) receives $20K grant! [PERSON]! [URL]",kalamazoo
2024-11-21T02:30:03.000Z,West Michigan,,,,False,homeless,"Plans to convert [ORGANIZATION] hotel into [INSTITUTION] being re-evaluated
[URL]",kalamazoo
2024-11-13T16:25:44.000Z,"Kalamazoo, Michigan",,,,False,,"These projects will create more than 100 new housing units. 

Learn more: [URL]",kalamazoo
2024-11-14T12:49:02.000Z,Michigan,,,,False,homeless,New [INSTITUTION] project may pivot to different spot in [ORGANIZATION] [URL],kalamazoo
2024-11-26T21:57:38.000Z,"Grand Rapids, Mich.",,,,False,affordable housing,[ORGANIZATION] is celebrating the first of ten new affordable housing units at a mobile home park near FAC0: [URL],kalamazoo
2024-11-15T05:42:08.000Z,"Kalamazoo, MI",,,,False,"homeless, homelessness","[ORGANIZATION] increased mental health treatment using proven methods for [ORGANIZATION], especially focusing on [ORGANIZATION] and homeless folks. Also research effective and proven strategies for reducing homelessness and implement them in [ORGANIZATION], then roll them out to other cities.",kalamazoo
2024-11-21T16:57:24.000Z,"Kalamazoo, MI",,,,False,homeless,"LOCAL NEWS - Plans to convert [ORGANIZATION] hotel into [INSTITUTION] cancelled after lofty $5.2M pricetag goes public 

[URL]",kalamazoo
2024-11-20T14:16:23.000Z,"Michigan, USA",,,,False,homeless,[USER] [USER] [ORGANIZATION] is a homeless mess.,kalamazoo
2024-12-12T23:30:05.000Z,West Michigan,,,,False,,"The tiny houses were built for people turned away by landlords due to their past convictions or substance use disorders.
[URL]",kalamazoo
2024-11-13T18:10:40.000Z,West Michigan,"Kalamazoo, MI",United States,city,False,homeless,"DATE0 with staff at [ORGANIZATION], GPE0GPE1, [ORGANIZATION], off and running! A common issue at many GPE0PublicTransportation motor pools and maintenance bays are GPE0Homeless people who trespass and loiter. How do you approach with personal safety in mind? [URL]",kalamazoo
2024-11-13T18:45:39.000Z,"Grand Rapids, Mich.",,,,False,affordable housing,"[ORGANIZATION] OKs support for affordable housing projects:
[URL]",kalamazoo
2024-12-20T18:00:35.000Z,"DC, USA & worldwide",,,,False,affordable housing,"Pre-approved plans are part of [ORGANIZATION]’s effort to promote affordable housing through regulatory reform, missing middle housing types, and financial support and incentives. [ORGANIZATION]",kalamazoo
2024-11-13T18:49:11.000Z,"Kalamazoo, MI",,,,False,affordable housing,[ORGANIZATION] OKs support for affordable housing projects [URL],kalamazoo
2024-12-06T14:30:49.000Z,settler colonial land in MI,,,,False,"homeless, homelessness","👇🏽 [USER] [USER] PERSON0 PERSON1 [USER] [USER] PERSON2 
As student homelessness rises, program aims to house 150 families by [ORGANIZATION] [URL]",kalamazoo
2024-12-23T23:30:04.000Z,West Michigan,,,,False,,"The organization aims to ensure that everybody is surrounded by comfort and joy [ORGANIZATION], according to [ORGANIZATION].
[URL]",kalamazoo
2024-12-06T17:00:23.000Z,Grand Haven & Muskegon,,,,False,"homeless, homelessness","[URL] As student homelessness rises, program aims to house 150 families by [ORGANIZATION]",kalamazoo
2024-11-30T16:48:29.000Z,"Kalamazoo, MI",,,,False,affordable housing,1. Ten new homes mark the start of an affordable housing project for low-income families near [LOCATION]. [URL],kalamazoo
2024-12-30T19:38:07.000Z,"Kalamazoo, MI",,,,False,homeless,"PERSON0amp; [PERSON], Thanks for your generous donation to [ORGANIZATION]. Your Love [PERSON] will provide free dinners for the homeless and other needy souls in [ORGANIZATION] in [ORGANIZATION]. PERSON2 bless you. [URL]",kalamazoo
2024-12-03T16:23:12.000Z,United States,,,,False,"homeless, homelessness","[USER] Can we do something about reducing homelessness especially right in the middle of downtown [ORGANIZATION]? If I was a business owner down there, I would be so mad I would pack up and leave.",kalamazoo
2024-11-16T13:58:15.000Z,"Kalamazoo, MI",,,,False,,"3[LOCATION] leaders give the green light for support in three housing projects 

[URL]",kalamazoo
2024-11-19T15:12:20.000Z,Michigan,,,,False,homeless,[USER] GPE0 It doesn't help when cities around the state put their homeless on buses and send them to [PERSON].  [ORGANIZATION] in other states does this as well.,kalamazoo
2024-11-25T14:00:02.000Z,"Kalamazoo, Michigan",,,,False,"homeless, homelessness","[ORGANIZATION] is [LOCATION], and [ORGANIZATION] is seeing a DATE2 high in their homeless population according to the [ORGANIZATION] count.
[URL]",kalamazoo
2024-12-24T23:43:38.000Z,,,,,False,"homeless, homelessness, unhoused","""[ORGANIZATION] provides hotel rooms, meals &amp; clothing to 100 unhoused individuals for [ORGANIZATION], offering a sense of [ORGANIZATION]; comfort #HomelessnessAwareness""

[URL]",kalamazoo
2024-12-02T14:00:56.000Z,,,,,False,"homeless, homelessness","[ORGANIZATION] is dedicated to ending [PERSON], and to help [ORGANIZATION], we bring the resources to them. Every second [DATE], [ORGANIZATION] and our partners come to [PERSON] at [ADDRESS], [ORGANIZATION], [PERSON], from [TIME]
#[ORGANIZATION] #EndingVeteranHomelessness [URL]",kalamazoo
2024-11-15T17:00:46.000Z,West Michigan,,,,False,,Several new housing projects will be underway in [ORGANIZATION]. [URL],kalamazoo
2024-09-21T00:17:41.000Z,"Oceanside, CA",,,,False,"homeless, homelessness","Homelessness concerns continue in [ORGANIZATION], [PERSON] [URL] via [USER]",scranton
2024-12-13T04:30:06.000Z,Northeast PA,,,,False,homeless,"A [INSTITUTION] in [ORGANIZATION] is back open and just in time for some of the coldest temperatures of [ORGANIZATION].
[URL]",scranton
2024-12-27T22:40:57.000Z,United States,,,,False,homeless,"[ORGANIZATION] old [ORGANIZATION] [USER] did that. In between his [ORGANIZATION]. 

You’re Welcome Homeless folks! [URL]",scranton
2024-12-02T04:08:20.000Z,,,,,False,homeless,"[USER] PERSON0 [PERSON] please do not go to [ORGANIZATION], it’s a waste of taxpayer money. Use that money for homeless veterans please! [URL]",scranton
2024-09-25T02:49:14.000Z,"Moscow, PA",,,,False,beggar,[USER] I’m from [ORGANIZATION] and most people were disgusted with your visit at taxpayer expense. You’re a joke and a con artist. [ORGANIZATION] puppet president always saying “please give me more money”. Disgrace to humanity,scranton
2024-10-09T18:06:21.000Z,,,,,False,"homeless, homelessness","[USER] [USER] You're claiming [ORGANIZATION] wants more neverending inflation, more wide open borders, more forever wars, and more of the homelessness epidemic. 

You'll understand if I'm skeptical.",scranton
2024-10-09T01:39:33.000Z,"Pennsylvania, USA",,,,False,"homeless, homelessness",[ORGANIZATION] in [ORGANIZATION] …there is a decal bus with a sign that says [PERSON]. I just read a study [ORGANIZATION] about the increase in veteran homelessness due to  [PERSON]!  No one cares about the troops more than President [PERSON].,scranton
2024-10-09T01:00:37.000Z,"Pennsylvania, USA",,,,False,homeless,A local hotel in [ORGANIZATION] has a bus outside of it with decals and the words: veterans against [ORGANIZATION]. If anyone could support the troops any more than President [ORGANIZATION]….I cannot think of one. I just heard a study [ORGANIZATION] that shows a large increase in homeless veterans under [PERSON]!,scranton
